Model,Target_Level,Display_Category,Actual_ND,Pitch_Entropy
Unconditional Baseline,0,Baseline,37,4.077715447225512
Unconditional Baseline,0,Baseline,27,3.704349428956051
Unconditional Baseline,0,Baseline,41,3.9947641270344936
Unconditional Baseline,0,Baseline,28,3.535582047970575
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,35,3.986425874087823
Unconditional Baseline,0,Baseline,42,3.7213457687934257
Unconditional Baseline,0,Baseline,29,3.719375822415369
Unconditional Baseline,0,Baseline,29,3.719375822415369
Unconditional Baseline,0,Baseline,8,2.1556390622295662
Unconditional Baseline,0,Baseline,30,3.7614063297218427
Unconditional Baseline,0,Baseline,34,3.4922031072054134
Unconditional Baseline,0,Baseline,32,3.4650182662886326
Unconditional Baseline,0,Baseline,28,3.535582047970575
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,23,2.9140163035068443
Unconditional Baseline,0,Baseline,33,3.9225895736416696
Unconditional Baseline,0,Baseline,30,3.352584246172162
Unconditional Baseline,0,Baseline,51,3.9870283423989195
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,27,3.4541684103574037
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,23,2.9140163035068443
Unconditional Baseline,0,Baseline,29,3.210586598202836
Unconditional Baseline,0,Baseline,45,3.6307729638440214
Unconditional Baseline,0,Baseline,41,3.964395529526285
Unconditional Baseline,0,Baseline,23,2.9140163035068443
Unconditional Baseline,0,Baseline,22,3.606936732175321
Unconditional Baseline,0,Baseline,39,3.648261925734958
Unconditional Baseline,0,Baseline,27,3.2780614658328315
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,23,2.9140163035068443
Unconditional Baseline,0,Baseline,38,3.8275546594689245
Unconditional Baseline,0,Baseline,22,3.5503407095463873
Unconditional Baseline,0,Baseline,41,3.994764127034493
Unconditional Baseline,0,Baseline,33,3.691994407749645
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,23,2.9140163035068443
Unconditional Baseline,0,Baseline,36,3.7805913228033257
Unconditional Baseline,0,Baseline,20,3.4464393446710155
Unconditional Baseline,0,Baseline,24,2.5051230440172545
Unconditional Baseline,0,Baseline,42,3.9987620653268365
Unconditional Baseline,0,Baseline,36,3.6734165853054446
Unconditional Baseline,0,Baseline,19,3.0105709342684834
Unconditional Baseline,0,Baseline,40,3.8061983328100952
Unconditional Baseline,0,Baseline,28,3.4102329406731853
Unconditional Baseline,0,Baseline,23,2.9140163035068443
Unconditional Baseline,0,Baseline,35,3.897299717551716
Unconditional Baseline,0,Baseline,22,3.5503407095463873
Unconditional Baseline,0,Baseline,45,3.6307729638440214
Unconditional Baseline,0,Baseline,26,3.7483286603655745
Unconditional Baseline,0,Baseline,19,2.268472751631122
Unconditional Baseline,0,Baseline,51,3.9870283423989195
Unconditional Baseline,0,Baseline,26,3.53641423712223
Unconditional Baseline,0,Baseline,41,3.964395529526285
Unconditional Baseline,0,Baseline,41,3.7419707617515594
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,30,3.777747162910945
Unconditional Baseline,0,Baseline,19,2.945038697540245
Unconditional Baseline,0,Baseline,30,3.739572261986723
Unconditional Baseline,0,Baseline,32,3.391126767019874
Unconditional Baseline,0,Baseline,36,3.6835423624332306
Unconditional Baseline,0,Baseline,23,2.9140163035068443
Unconditional Baseline,0,Baseline,45,3.6307729638440214
Unconditional Baseline,0,Baseline,36,3.226198100024615
Unconditional Baseline,0,Baseline,10,2.9219280948873623
Unconditional Baseline,0,Baseline,28,3.699513850319966
Unconditional Baseline,0,Baseline,23,2.9140163035068443
Unconditional Baseline,0,Baseline,33,3.836081907815205
Unconditional Baseline,0,Baseline,30,3.8980685120588383
Unconditional Baseline,0,Baseline,32,3.605337797403416
Unconditional Baseline,0,Baseline,51,3.999419213884201
Unconditional Baseline,0,Baseline,20,3.1464393446710153
Unconditional Baseline,0,Baseline,28,3.535582047970575
Unconditional Baseline,0,Baseline,32,3.765319531114783
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,44,2.4434529976131127
Unconditional Baseline,0,Baseline,6,1.4591479170272446
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,39,3.904009834735909
Unconditional Baseline,0,Baseline,45,3.6307729638440214
Unconditional Baseline,0,Baseline,51,3.9870283423989195
Unconditional Baseline,0,Baseline,33,3.691994407749645
Unconditional Baseline,0,Baseline,45,3.6307729638440214
Unconditional Baseline,0,Baseline,35,3.7147180168213394
Unconditional Baseline,0,Baseline,39,3.706745003085406
Unconditional Baseline,0,Baseline,35,3.5141594451455136
Unconditional Baseline,0,Baseline,23,2.9140163035068443
Unconditional Baseline,0,Baseline,31,3.8371256496420143
Unconditional Baseline,0,Baseline,23,2.6488047613281545
Unconditional Baseline,0,Baseline,23,3.621175542919471
Unconditional Baseline,0,Baseline,45,3.6307729638440214
Unconditional Baseline,0,Baseline,38,4.038080975258398
Unconditional Baseline,0,Baseline,32,3.765319531114783
Unconditional Baseline,0,Baseline,22,3.5503407095463873
Unconditional Baseline,0,Baseline,30,3.4444138295776114
Unconditional Baseline,0,Baseline,20,2.6464393446710153
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,32,3.765319531114783
Unconditional Baseline,0,Baseline,31,3.1485779732566463
Unconditional Baseline,0,Baseline,32,3.6678377974034158
Unconditional Baseline,0,Baseline,32,3.605337797403416
Unconditional Baseline,0,Baseline,32,3.5848683589017414
Unconditional Baseline,0,Baseline,41,4.143541333622538
Unconditional Baseline,0,Baseline,100,2.690707729504532
Unconditional Baseline,0,Baseline,36,3.953968403919608
Unconditional Baseline,0,Baseline,35,3.986425874087823
Unconditional Baseline,0,Baseline,27,2.7497406322591122
Unconditional Baseline,0,Baseline,24,2.5272925846688996
Unconditional Baseline,0,Baseline,51,3.9870283423989195
Unconditional Baseline,0,Baseline,29,3.3662180665468817
Unconditional Baseline,0,Baseline,23,3.414441303694973
Unconditional Baseline,0,Baseline,32,3.7959585933443494
Unconditional Baseline,0,Baseline,33,3.8589572866686432
Unconditional Baseline,0,Baseline,34,3.433379577793648
Unconditional Baseline,0,Baseline,23,2.9140163035068443
Unconditional Baseline,0,Baseline,33,3.0891744267014816
Unconditional Baseline,0,Baseline,36,3.0402502653201338
Unconditional Baseline,0,Baseline,23,2.9140163035068443
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,33,3.691994407749645
Unconditional Baseline,0,Baseline,35,3.5999748045069535
Unconditional Baseline,0,Baseline,10,2.9219280948873623
Unconditional Baseline,0,Baseline,27,3.763965742824081
Unconditional Baseline,0,Baseline,42,3.6357831963307286
Unconditional Baseline,0,Baseline,33,3.6283621207766186
Unconditional Baseline,0,Baseline,33,3.5101762259314633
Unconditional Baseline,0,Baseline,26,3.151798852506846
Unconditional Baseline,0,Baseline,22,3.5503407095463873
Unconditional Baseline,0,Baseline,28,3.0261298155959175
Unconditional Baseline,0,Baseline,41,3.964395529526285
Unconditional Baseline,0,Baseline,32,3.8400182662886326
Unconditional Baseline,0,Baseline,33,3.691994407749645
Unconditional Baseline,0,Baseline,31,3.8245334068819115
Unconditional Baseline,0,Baseline,21,2.2809509262245995
Unconditional Baseline,0,Baseline,22,3.538310595615006
Unconditional Baseline,0,Baseline,41,3.964395529526285
Unconditional Baseline,0,Baseline,45,3.6307729638440214
Unconditional Baseline,0,Baseline,41,3.964395529526285
Unconditional Baseline,0,Baseline,32,3.60845859334435
Unconditional Baseline,0,Baseline,33,3.5101762259314633
Unconditional Baseline,0,Baseline,26,3.324499813878887
Unconditional Baseline,0,Baseline,28,3.535582047970575
Unconditional Baseline,0,Baseline,35,3.3714033759355244
Unconditional Baseline,0,Baseline,35,3.897299717551716
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,45,3.6307729638440214
Unconditional Baseline,0,Baseline,36,3.4375770020923047
Unconditional Baseline,0,Baseline,28,3.535582047970575
Unconditional Baseline,0,Baseline,41,3.955504603267742
Unconditional Baseline,0,Baseline,45,3.6307729638440214
Unconditional Baseline,0,Baseline,20,3.2086949695628424
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,33,3.5101762259314633
Unconditional Baseline,0,Baseline,41,3.964395529526285
Unconditional Baseline,0,Baseline,36,3.5055875858619334
Unconditional Baseline,0,Baseline,40,3.906198332810095
Unconditional Baseline,0,Baseline,28,3.535582047970575
Unconditional Baseline,0,Baseline,28,3.5785559236087936
Unconditional Baseline,0,Baseline,23,2.9140163035068443
Unconditional Baseline,0,Baseline,22,3.5503407095463873
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,41,3.964395529526285
Unconditional Baseline,0,Baseline,36,3.5957295996907255
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,33,3.5101762259314633
Unconditional Baseline,0,Baseline,30,3.7614063297218427
Unconditional Baseline,0,Baseline,32,3.605337797403416
Unconditional Baseline,0,Baseline,41,3.964395529526285
Unconditional Baseline,0,Baseline,35,3.986425874087823
Unconditional Baseline,0,Baseline,33,3.5101762259314633
Unconditional Baseline,0,Baseline,35,3.897299717551716
Unconditional Baseline,0,Baseline,23,2.9140163035068443
Unconditional Baseline,0,Baseline,8,1.75
Unconditional Baseline,0,Baseline,24,3.7201755214643453
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,36,3.6943856825877637
Unconditional Baseline,0,Baseline,41,3.955504603267742
Unconditional Baseline,0,Baseline,41,4.004285091072619
Unconditional Baseline,0,Baseline,26,3.3308381614319837
Unconditional Baseline,0,Baseline,34,3.47000053361237
Unconditional Baseline,0,Baseline,51,3.9870283423989195
Unconditional Baseline,0,Baseline,12,3.188721875540867
Unconditional Baseline,0,Baseline,15,3.189898095464287
Unconditional Baseline,0,Baseline,33,3.5101762259314633
Unconditional Baseline,0,Baseline,39,3.5188931678473487
Unconditional Baseline,0,Baseline,26,3.363713275750189
Unconditional Baseline,0,Baseline,36,3.7709103354256377
Unconditional Baseline,0,Baseline,18,2.8855130303998817
Unconditional Baseline,0,Baseline,10,3.121928094887362
Unconditional Baseline,0,Baseline,51,3.9870283423989195
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,44,3.575480414328637
Unconditional Baseline,0,Baseline,22,2.840811597071988
Unconditional Baseline,0,Baseline,33,3.5101762259314633
Unconditional Baseline,0,Baseline,29,3.866433150225383
Unconditional Baseline,0,Baseline,44,3.22298552786666
Unconditional Baseline,0,Baseline,32,3.8514097655573916
Unconditional Baseline,0,Baseline,6,1.4591479170272446
Unconditional Baseline,0,Baseline,33,3.5101762259314633
Unconditional Baseline,0,Baseline,22,3.5503407095463873
Unconditional Baseline,0,Baseline,23,2.9140163035068443
Unconditional Baseline,0,Baseline,33,3.5101762259314633
Unconditional Baseline,0,Baseline,26,3.5804621997271013
Unconditional Baseline,0,Baseline,33,3.5101762259314633
Unconditional Baseline,0,Baseline,30,4.148394345536403
Unconditional Baseline,0,Baseline,31,3.1485779732566463
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,41,3.964395529526285
Unconditional Baseline,0,Baseline,30,3.5777471629109443
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,39,3.8040063852515473
Unconditional Baseline,0,Baseline,33,3.5101762259314633
Unconditional Baseline,0,Baseline,43,3.5306885918107738
Unconditional Baseline,0,Baseline,22,2.915151234499248
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,21,3.630412660873998
Unconditional Baseline,0,Baseline,35,3.897299717551716
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,28,3.5800503514647377
Unconditional Baseline,0,Baseline,35,3.897299717551716
Unconditional Baseline,0,Baseline,38,3.777551119208659
Unconditional Baseline,0,Baseline,45,3.6307729638440214
Unconditional Baseline,0,Baseline,51,3.9870283423989195
Unconditional Baseline,0,Baseline,36,3.7635585991342375
Unconditional Baseline,0,Baseline,30,3.4681819469841795
Unconditional Baseline,0,Baseline,26,2.959627220878014
Unconditional Baseline,0,Baseline,6,1.4591479170272446
Unconditional Baseline,0,Baseline,28,3.535582047970575
Unconditional Baseline,0,Baseline,32,3.765319531114783
Unconditional Baseline,0,Baseline,45,3.6307729638440214
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,23,2.9638096525384383
Unconditional Baseline,0,Baseline,30,3.6159220638351663
Unconditional Baseline,0,Baseline,27,3.2599049845116066
Unconditional Baseline,0,Baseline,22,3.5503407095463873
Unconditional Baseline,0,Baseline,32,3.3522170014624826
Unconditional Baseline,0,Baseline,39,3.387555746272415
Unconditional Baseline,0,Baseline,29,3.253521511921337
Unconditional Baseline,0,Baseline,28,3.6245186549588984
Unconditional Baseline,0,Baseline,40,3.7561983328100945
Unconditional Baseline,0,Baseline,23,3.621175542919471
Unconditional Baseline,0,Baseline,51,3.9870283423989195
Unconditional Baseline,0,Baseline,28,3.535582047970575
Unconditional Baseline,0,Baseline,41,3.964395529526285
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,46,3.6737014358439515
Unconditional Baseline,0,Baseline,33,3.5101762259314633
Unconditional Baseline,0,Baseline,41,3.964395529526285
Unconditional Baseline,0,Baseline,37,3.935955649986687
Unconditional Baseline,0,Baseline,43,3.6494361967042366
Unconditional Baseline,0,Baseline,22,3.5503407095463873
Unconditional Baseline,0,Baseline,28,3.797902689682947
Unconditional Baseline,0,Baseline,41,3.964395529526285
Unconditional Baseline,0,Baseline,23,2.9140163035068443
